
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
295.879,481.153,47.6453,µm,Spot,Position Reference Frame,Reference Frame 1,1,268,
377.964,479.153,44.1037,µm,Spot,Position Reference Frame,Reference Frame 1,1,269,
361.968,476.898,47.9554,µm,Spot,Position Reference Frame,Reference Frame 1,1,270,
182.902,537.478,40.0407,µm,Spot,Position Reference Frame,Reference Frame 1,1,271,
192.932,538.395,40.1728,µm,Spot,Position Reference Frame,Reference Frame 1,1,272,
201.716,533.791,41.7752,µm,Spot,Position Reference Frame,Reference Frame 1,1,273,
206.77,535.717,42.2186,µm,Spot,Position Reference Frame,Reference Frame 1,1,274,
221.933,537.266,42.1465,µm,Spot,Position Reference Frame,Reference Frame 1,1,275,
244.602,532.987,41.0356,µm,Spot,Position Reference Frame,Reference Frame 1,1,276,
448.223,187.7,49.6007,µm,Spot,Position Reference Frame,Reference Frame 1,1,277,
419.843,223.117,50.4654,µm,Spot,Position Reference Frame,Reference Frame 1,1,278,
425.633,233.798,50.4153,µm,Spot,Position Reference Frame,Reference Frame 1,1,279,
450.328,197.668,50.5551,µm,Spot,Position Reference Frame,Reference Frame 1,1,280,
427.06,218.608,50.7271,µm,Spot,Position Reference Frame,Reference Frame 1,1,281,
437.658,220.445,50.5442,µm,Spot,Position Reference Frame,Reference Frame 1,1,282,
466.2,231.55,50.6853,µm,Spot,Position Reference Frame,Reference Frame 1,1,283,
448.413,232.743,50.7012,µm,Spot,Position Reference Frame,Reference Frame 1,1,284,
461.835,185.141,51.1312,µm,Spot,Position Reference Frame,Reference Frame 1,1,285,
441.633,202.957,51.4652,µm,Spot,Position Reference Frame,Reference Frame 1,1,286,
447.521,215.883,51.0453,µm,Spot,Position Reference Frame,Reference Frame 1,1,287,
440.381,229.571,51.1021,µm,Spot,Position Reference Frame,Reference Frame 1,1,288,
462.359,195.572,51.5293,µm,Spot,Position Reference Frame,Reference Frame 1,1,289,
454.349,202.357,51.54,µm,Spot,Position Reference Frame,Reference Frame 1,1,290,
462.04,210.813,51.516,µm,Spot,Position Reference Frame,Reference Frame 1,1,291,
435.95,212.569,51.7723,µm,Spot,Position Reference Frame,Reference Frame 1,1,292,
462.141,222.736,51.6367,µm,Spot,Position Reference Frame,Reference Frame 1,1,293,
498.137,178.699,48.4595,µm,Spot,Position Reference Frame,Reference Frame 1,1,294,
475.026,177.355,49.1841,µm,Spot,Position Reference Frame,Reference Frame 1,1,295,
505.447,182.062,49.0685,µm,Spot,Position Reference Frame,Reference Frame 1,1,296,
473.496,198.743,49.217,µm,Spot,Position Reference Frame,Reference Frame 1,1,297,
485.089,180.273,49.8462,µm,Spot,Position Reference Frame,Reference Frame 1,1,298,
481.33,190.843,50.6464,µm,Spot,Position Reference Frame,Reference Frame 1,1,299,
517.044,187.931,51.2334,µm,Spot,Position Reference Frame,Reference Frame 1,1,300,
510.823,192.372,51.2519,µm,Spot,Position Reference Frame,Reference Frame 1,1,301,
495.589,197.316,51.0928,µm,Spot,Position Reference Frame,Reference Frame 1,1,302,
516.087,201.198,51.4359,µm,Spot,Position Reference Frame,Reference Frame 1,1,303,
528.74,208.782,51.3185,µm,Spot,Position Reference Frame,Reference Frame 1,1,304,
520.779,218.989,51.4371,µm,Spot,Position Reference Frame,Reference Frame 1,1,305,
496.98,219.394,51.1976,µm,Spot,Position Reference Frame,Reference Frame 1,1,306,
480.49,225.756,51.4582,µm,Spot,Position Reference Frame,Reference Frame 1,1,307,
530.435,219.714,51.8265,µm,Spot,Position Reference Frame,Reference Frame 1,1,308,
503.035,232.173,51.5644,µm,Spot,Position Reference Frame,Reference Frame 1,1,309,
532.995,181.653,48.3265,µm,Spot,Position Reference Frame,Reference Frame 1,1,310,
566.151,226.801,48.1616,µm,Spot,Position Reference Frame,Reference Frame 1,1,311,
550.93,195.291,49.9073,µm,Spot,Position Reference Frame,Reference Frame 1,1,312,
553.046,202.863,50.4237,µm,Spot,Position Reference Frame,Reference Frame 1,1,313,
540.359,203.423,50.2309,µm,Spot,Position Reference Frame,Reference Frame 1,1,314,
547.214,205.143,50.4281,µm,Spot,Position Reference Frame,Reference Frame 1,1,315,
545.594,211.86,50.2194,µm,Spot,Position Reference Frame,Reference Frame 1,1,316,
